hospital_id,hospital_name,state,city,specialization,consultation_fee,rating,available_slots,beds_available,latitude,longitude,review,cost_category,rating_category
1,Patel Hospital,Punjab,Jalandhar,"['Cardiology', 'Orthopedics', 'General Medicine', 'Radiology']",700,4.3,5,150,31.326,75.5762,Good infrastructure and experienced doctors,Medium,Good
2,Johal Hospital,Punjab,Jalandhar,"['Orthopedics', 'General Medicine', 'Pulmonology']",600,4.1,4,120,31.3255,75.5781,Affordable and reliable treatment,Medium,Good
3,Tagore Hospital,Punjab,Jalandhar,"['Cardiology', 'Neurology', 'Radiology']",800,4.4,3,200,31.3272,75.575,Advanced facilities and good staff,Medium,Good
4,Capital Hospital,Punjab,Jalandhar,"['Dentistry', 'General Medicine', 'Pathology']",500,4.0,6,100,31.3283,75.5745,Good for basic treatments,Medium,Good
5,Sgl Hospital,Punjab,Jalandhar,"['Cardiology', 'Pulmonology', 'General Medicine']",900,4.5,2,250,31.329,75.573,Highly rated multi-speciality hospital,Medium,Excellent
6,Apex Hospital,Punjab,Jalandhar,"['Orthopedics', 'Dermatology', 'General Medicine']",550,4.2,5,130,31.324,75.579,Well maintained and friendly staff,Medium,Good
7,New Ruby Hospital,Punjab,Jalandhar,"['Pediatrics', 'General Medicine', 'ENT']",450,3.9,7,90,31.3235,75.5802,Good for children care,Low,Average
8,Sacred Heart Hospital,Punjab,Jalandhar,"['Cardiology', 'Orthopedics', 'Radiology']",750,4.3,4,180,31.3301,75.5725,Trusted hospital with good services,Medium,Good
9,Healing Touch Hospital,Punjab,Jalandhar,"['Dermatology', 'General Medicine', 'Pathology']",400,4.0,6,80,31.3228,75.581,Affordable and decent care,Low,Good
10,City Hospital Jalandhar,Punjab,Jalandhar,"['General Medicine', 'Pulmonology', 'Radiology']",650,4.1,5,140,31.3219,75.5822,Good overall patient satisfaction,Medium,Good
11,Fortis Hospital Ludhiana,Punjab,Ludhiana,"['Cardiology', 'Neurology', 'Pulmonology', 'Radiology']",1000,4.6,3,300,30.9005,75.8573,Top multi-speciality hospital with excellent care,High,Excellent
12,Dayanand Medical College,Punjab,Ludhiana,"['Cardiology', 'Orthopedics', 'General Medicine', 'Pathology']",800,4.5,4,350,30.9012,75.858,Highly reputed teaching hospital,Medium,Excellent
13,Sps Hospitals,Punjab,Ludhiana,"['Cardiology', 'Neurology', 'Radiology']",900,4.4,3,250,30.8998,75.8565,Modern infrastructure and skilled doctors,Medium,Good
14,Christian Medical College,Punjab,Ludhiana,"['General Medicine', 'Pediatrics', 'ENT', 'Pathology']",700,4.3,5,400,30.902,75.8592,Trusted and affordable care,Medium,Good
15,Mohan Dai Oswal Hospital,Punjab,Ludhiana,"['Orthopedics', 'Dermatology', 'General Medicine']",650,4.2,6,200,30.9031,75.8555,Good patient satisfaction,Medium,Good
16,Sidhu Hospital,Punjab,Ludhiana,"['General Medicine', 'Pulmonology', 'Radiology']",600,4.1,5,150,30.904,75.8548,Reliable and budget-friendly services,Medium,Good
17,Khosla Hospital,Punjab,Ludhiana,"['Dentistry', 'General Medicine', 'Pathology']",500,4.0,7,120,30.9052,75.8539,Good for basic treatments,Medium,Good
18,Aarti Hospital,Punjab,Ludhiana,"['Pediatrics', 'ENT', 'General Medicine']",550,4.1,6,140,30.9061,75.8527,Well maintained and caring staff,Medium,Good
19,Deep Hospital,Punjab,Ludhiana,"['Cardiology', 'Orthopedics', 'Radiology']",750,4.3,4,180,30.907,75.8515,Experienced doctors and good facilities,Medium,Good
20,Om Eye And General Hospital,Punjab,Ludhiana,"['Ophthalmology', 'General Medicine', 'Dermatology']",600,4.2,5,130,30.9082,75.8502,Specialized eye care with good reviews,Medium,Good
21,Amandeep Hospital,Punjab,Amritsar,"['Orthopedics', 'Cardiology', 'General Medicine', 'Radiology']",900,4.6,3,250,31.634,74.8723,Highly reputed hospital with advanced facilities,Medium,Excellent
22,Fortis Escorts Hospital,Punjab,Amritsar,"['Cardiology', 'Neurology', 'Pulmonology', 'Radiology']",1000,4.7,2,300,31.6352,74.8731,Top rated hospital with expert doctors,High,Excellent
23,Eden Hospital,Punjab,Amritsar,"['General Medicine', 'Dermatology', 'Pathology']",600,4.2,5,150,31.633,74.871,Affordable and reliable treatment,Medium,Good
24,Emc Super Speciality Hospital,Punjab,Amritsar,"['Cardiology', 'Orthopedics', 'Neurology']",850,4.4,4,220,31.6365,74.874,Modern hospital with skilled staff,Medium,Good
25,Rajiv Gandhi Hospital,Punjab,Amritsar,"['General Medicine', 'Pediatrics', 'ENT']",500,4.0,6,180,31.6321,74.8702,Good for general healthcare needs,Medium,Good
26,Hartej Hospital,Punjab,Amritsar,"['Orthopedics', 'Dermatology', 'General Medicine']",650,4.3,5,200,31.6372,74.8755,Well maintained and good patient care,Medium,Good
27,Bhandari Hospital,Punjab,Amritsar,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,4,170,31.638,74.8762,Experienced doctors and good facilities,Medium,Good
28,Dr Daljit Singh Eye Hospital,Punjab,Amritsar,"['Ophthalmology', 'General Medicine']",600,4.5,3,120,31.6395,74.877,Specialized eye hospital with high ratings,Medium,Excellent
29,Sharma Hospital,Punjab,Amritsar,"['General Medicine', 'Pathology', 'Pulmonology']",550,4.1,6,140,31.6315,74.8695,Affordable and decent care,Medium,Good
30,Neelkanth Hospital,Punjab,Amritsar,"['Cardiology', 'Orthopedics', 'Radiology']",750,4.3,4,190,31.6302,74.868,Trusted hospital with good services,Medium,Good
31,Rajindra Hospital,Punjab,Patiala,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",700,4.4,5,400,30.3398,76.3869,Major government hospital with wide facilities,Medium,Good
32,Columbia Asia Hospital,Punjab,Patiala,"['Cardiology', 'Neurology', 'Pulmonology', 'Radiology']",1000,4.6,3,250,30.3405,76.3878,Modern hospital with excellent care,High,Excellent
33,Patiala Heart Institute,Punjab,Patiala,"['Cardiology', 'General Medicine', 'Radiology']",850,4.5,4,200,30.3412,76.3885,Specialized heart care hospital,Medium,Excellent
34,Goyal Hospital,Punjab,Patiala,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,6,150,30.3389,76.385,Affordable and reliable services,Medium,Good
35,Saini Hospital,Punjab,Patiala,"['General Medicine', 'Pediatrics', 'ENT']",550,4.1,5,120,30.3375,76.3842,Good for general healthcare needs,Medium,Good
36,Apex Hospital Patiala,Punjab,Patiala,"['Orthopedics', 'Cardiology', 'Radiology']",750,4.3,4,180,30.3362,76.3835,Well equipped and experienced staff,Medium,Good
37,Deepak Hospital,Punjab,Patiala,"['Dentistry', 'General Medicine', 'Pathology']",500,4.0,7,100,30.335,76.382,Good for basic treatments,Medium,Good
38,Life Line Hospital,Punjab,Patiala,"['General Medicine', 'Pulmonology', 'Radiology']",650,4.2,5,160,30.334,76.3812,Reliable and budget-friendly hospital,Medium,Good
39,Dr Gupta Eye Hospital,Punjab,Patiala,"['Ophthalmology', 'General Medicine']",600,4.4,3,110,30.3332,76.3805,Specialized eye care with good reviews,Medium,Good
40,Om Hospital Patiala,Punjab,Patiala,"['Cardiology', 'Orthopedics', 'General Medicine']",700,4.3,4,170,30.3325,76.3798,Trusted hospital with good facilities,Medium,Good
41,Adesh Hospital,Punjab,Bathinda,"['Cardiology', 'Orthopedics', 'General Medicine', 'Radiology']",800,4.4,4,300,30.207,74.9455,Well known multi-speciality hospital,Medium,Good
42,Max Super Speciality Hospital,Punjab,Bathinda,"['Cardiology', 'Neurology', 'Pulmonology', 'Radiology']",1100,4.7,2,250,30.2082,74.9462,Top rated hospital with advanced facilities,High,Excellent
43,Apex Hospital Bathinda,Punjab,Bathinda,"['Orthopedics', 'Dermatology', 'General Medicine']",600,4.2,5,180,30.206,74.944,Affordable and reliable care,Medium,Good
44,Gian Sagar Hospital,Punjab,Bathinda,"['General Medicine', 'Pediatrics', 'ENT']",550,4.1,6,150,30.205,74.943,Good for general healthcare needs,Medium,Good
45,Deep Hospital Bathinda,Punjab,Bathinda,"['Cardiology', 'Radiology', 'General Medicine']",750,4.3,4,200,30.2042,74.9425,Experienced doctors and good services,Medium,Good
46,Life Care Hospital,Punjab,Bathinda,"['General Medicine', 'Pulmonology', 'Pathology']",650,4.2,5,160,30.2035,74.9418,Reliable and budget-friendly hospital,Medium,Good
47,Sandhu Hospital,Punjab,Bathinda,"['Dentistry', 'General Medicine', 'Pathology']",500,4.0,7,120,30.2028,74.941,Good for basic treatments,Medium,Good
48,Dr Bansal Eye Hospital,Punjab,Bathinda,"['Ophthalmology', 'General Medicine']",600,4.4,3,100,30.202,74.9405,Specialized eye care hospital,Medium,Good
49,City Hospital Bathinda,Punjab,Bathinda,"['Cardiology', 'Orthopedics', 'Radiology']",700,4.3,4,170,30.2012,74.9398,Trusted hospital with good facilities,Medium,Good
50,Om Hospital Bathinda,Punjab,Bathinda,"['General Medicine', 'Dermatology', 'Pathology']",550,4.1,6,140,30.2005,74.939,Decent care with affordable pricing,Medium,Good
51,Fortis Hospital Mohali,Punjab,Mohali,"['Cardiology', 'Neurology', 'Pulmonology', 'Radiology']",1200,4.8,2,350,30.7046,76.7179,Top tier hospital with advanced facilities and expert doctors,High,Excellent
52,Max Super Speciality Hospital,Punjab,Mohali,"['Cardiology', 'Oncology', 'Orthopedics', 'Radiology']",1100,4.7,3,300,30.7055,76.7188,Highly rated hospital with excellent patient care,High,Excellent
53,Ivy Hospital Mohali,Punjab,Mohali,"['Cardiology', 'Neurology', 'General Medicine', 'Radiology']",1000,4.6,4,280,30.7065,76.7195,Modern infrastructure and skilled staff,High,Excellent
54,Grecian Hospital,Punjab,Mohali,"['Orthopedics', 'Dermatology', 'General Medicine']",700,4.3,5,200,30.7072,76.7203,Affordable and reliable services,Medium,Good
55,Sohana Hospital,Punjab,Mohali,"['Cardiology', 'Orthopedics', 'General Medicine']",900,4.5,4,250,30.708,76.721,Trusted hospital with good facilities,Medium,Excellent
56,Silver Oaks Hospital,Punjab,Mohali,"['General Medicine', 'Pediatrics', 'ENT']",650,4.2,6,180,30.7088,76.7218,Good for general healthcare needs,Medium,Good
57,Landmark Hospital,Punjab,Mohali,"['General Medicine', 'Pulmonology', 'Pathology']",700,4.3,5,190,30.7095,76.7225,Reliable and budget-friendly hospital,Medium,Good
58,Drishti Eye Hospital,Punjab,Mohali,"['Ophthalmology', 'General Medicine']",600,4.4,3,120,30.7102,76.7232,Specialized eye care with good reviews,Medium,Good
59,Healing Hospital Mohali,Punjab,Mohali,"['Cardiology', 'Orthopedics', 'Radiology']",850,4.5,4,230,30.711,76.724,Well equipped hospital with experienced doctors,Medium,Excellent
60,City Hospital Mohali,Punjab,Mohali,"['General Medicine', 'Dermatology', 'Pathology']",600,4.2,6,160,30.7118,76.7248,Affordable and decent care,Medium,Good
61,Pgimer Chandigarh,Chandigarh,Chandigarh,"['Cardiology', 'Neurology', 'Pulmonology', 'Radiology']",500,4.8,3,500,30.765,76.775,Premier government institute with excellent medical care,Medium,Excellent
62,Fortis Hospital Chandigarh,Chandigarh,Chandigarh,"['Cardiology', 'Oncology', 'Orthopedics', 'Radiology']",1200,4.7,2,350,30.7662,76.776,Top private hospital with advanced technology,High,Excellent
63,Max Super Speciality Hospital,Chandigarh,Chandigarh,"['Cardiology', 'Neurology', 'General Medicine', 'Radiology']",1100,4.6,3,300,30.7675,76.7772,Highly reputed hospital with expert doctors,High,Excellent
64,Alchemist Hospital,Chandigarh,Chandigarh,"['Orthopedics', 'Dermatology', 'General Medicine']",800,4.4,5,250,30.7688,76.778,Well maintained hospital with good facilities,Medium,Good
65,Healing Hospital Chandigarh,Chandigarh,Chandigarh,"['Cardiology', 'Orthopedics', 'General Medicine']",900,4.5,4,280,30.77,76.779,Trusted hospital with experienced staff,Medium,Excellent
66,Mukat Hospital,Chandigarh,Chandigarh,"['General Medicine', 'Pediatrics', 'ENT']",700,4.3,6,200,30.7712,76.78,Affordable and reliable healthcare services,Medium,Good
67,Landmark Hospital Chandigarh,Chandigarh,Chandigarh,"['General Medicine', 'Pulmonology', 'Pathology']",750,4.4,5,220,30.7725,76.7812,Good hospital with modern infrastructure,Medium,Good
68,Grover Eye Laser Hospital,Chandigarh,Chandigarh,"['Ophthalmology', 'General Medicine']",650,4.6,3,150,30.7738,76.782,Highly rated eye care center,Medium,Excellent
69,Omni Hospital Chandigarh,Chandigarh,Chandigarh,"['Cardiology', 'Orthopedics', 'Radiology']",850,4.5,4,240,30.775,76.783,Well equipped hospital with skilled doctors,Medium,Excellent
70,City Hospital Chandigarh,Chandigarh,Chandigarh,"['General Medicine', 'Dermatology', 'Pathology']",600,4.2,6,180,30.7762,76.7842,Affordable and decent care,Medium,Good
71,Civil Hospital Hoshiarpur,Punjab,Hoshiarpur,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",500,4.2,6,250,31.532,75.917,Major government hospital with good facilities,Medium,Good
72,Khosla Hospital,Punjab,Hoshiarpur,"['General Medicine', 'Pediatrics', 'ENT']",550,4.1,5,150,31.5332,75.9182,Reliable and affordable healthcare services,Medium,Good
73,City Hospital Hoshiarpur,Punjab,Hoshiarpur,"['Cardiology', 'Orthopedics', 'General Medicine']",700,4.3,4,180,31.5345,75.9195,Well equipped hospital with experienced doctors,Medium,Good
74,Saini Hospital,Punjab,Hoshiarpur,"['General Medicine', 'Pulmonology', 'Pathology']",600,4.2,5,160,31.5358,75.9208,Good for respiratory and general treatments,Medium,Good
75,Deep Hospital Hoshiarpur,Punjab,Hoshiarpur,"['Dentistry', 'General Medicine', 'Pathology']",450,4.0,7,120,31.537,75.922,Affordable hospital for basic treatments,Low,Good
76,Life Care Hospital,Punjab,Hoshiarpur,"['Orthopedics', 'Dermatology', 'General Medicine']",650,4.3,4,170,31.5382,75.9232,Good patient care and services,Medium,Good
77,Drishti Eye Hospital,Punjab,Hoshiarpur,"['Ophthalmology', 'General Medicine']",600,4.4,3,110,31.5395,75.9245,Specialized eye care with high ratings,Medium,Good
78,Om Hospital Hoshiarpur,Punjab,Hoshiarpur,"['Cardiology', 'Radiology', 'General Medicine']",700,4.2,5,140,31.5408,75.9258,Trusted hospital with decent facilities,Medium,Good
79,Civil Hospital Pathankot,Punjab,Pathankot,"['General Medicine', 'Cardiology', 'Orthopedics', 'Radiology']",400,4.1,7,220,32.2733,75.6522,Major government hospital with basic facilities,Low,Good
